Date,USD - US dollar
7/12/2022,3147.52
7/11/2022,3147.52
7/10/2022,3147.52
7/9/2022,3147.52
7/8/2022,3147.52
7/7/2022,3145.21
7/6/2022,3144.66
7/5/2022,3142.3
7/4/2022,3140.08
7/3/2022,3137.87
7/2/2022,3137.87
7/1/2022,3137.87
6/30/2022,3134.1
6/29/2022,3134.28
6/28/2022,3132.31
6/27/2022,3131.78
6/26/2022,3129.56
6/25/2022,3129.56
6/24/2022,3129.56
6/23/2022,3126.94
6/22/2022,3124.95
6/21/2022,3122.4
6/20/2022,3120.99
6/19/2022,3121.04
6/18/2022,3121.04
6/17/2022,3121.04
6/16/2022,3120.75
6/15/2022,3120.67
6/14/2022,3120.57
6/13/2022,3120.57
6/12/2022,3121.03
6/11/2022,3121.03
6/10/2022,3121.03
6/9/2022,3120.68
6/8/2022,3120.64
6/7/2022,3120.56
6/6/2022,3120.52
6/5/2022,3120.53
6/4/2022,3120.53
6/3/2022,3120.53
6/2/2022,3120.78
6/1/2022,3120.84
5/31/2022,3120.84
5/30/2022,3120.5
5/29/2022,3121.05
5/28/2022,3121.05
5/27/2022,3121.05
5/26/2022,3120.71
5/25/2022,3120.63
5/24/2022,3120.56
5/23/2022,3120.5
5/22/2022,3119.92
5/21/2022,3119.92
5/20/2022,3119.92
5/19/2022,3118.41
5/18/2022,3116.8
5/17/2022,3115.34
5/16/2022,3111.93
5/15/2022,3111.84
5/14/2022,3111.84
5/13/2022,3111.84
5/12/2022,3108.88
5/11/2022,3105.89
5/10/2022,3105.37
5/9/2022,3099.41
5/8/2022,3099.9
5/7/2022,3099.9
5/6/2022,3099.9
5/5/2022,3096.72
5/4/2022,3093.49
5/3/2022,3090.47
5/2/2022,3085.65
5/1/2022,3083.88
4/30/2022,3083.88
4/29/2022,3083.88
4/28/2022,3080.88
4/27/2022,3072.89
4/26/2022,3075.42
4/25/2022,3071.75
4/24/2022,3065.97
4/23/2022,3065.97
4/22/2022,3065.97
4/21/2022,3063.5
4/20/2022,3061.22
4/19/2022,3056.14
4/18/2022,3050.59
4/17/2022,3047.2
4/16/2022,3047.2
4/15/2022,3047.2
4/14/2022,3040.68
4/13/2022,3040.87
4/12/2022,3034.25
4/11/2022,3023.98
4/10/2022,3021
4/9/2022,3021
4/8/2022,3021
4/7/2022,3014.72
4/6/2022,3014.5
4/5/2022,3006.31
4/4/2022,2981.91
4/3/2022,2970.93
4/2/2022,2970.93
4/1/2022,2970.93
3/31/2022,2948.46
3/30/2022,2944.6
3/29/2022,2936.87
3/28/2022,2927.22
3/27/2022,2923.72
3/26/2022,2923.72
3/25/2022,2923.72
3/24/2022,2918.64
3/23/2022,2916.91
3/22/2022,2914.45
