"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2023","84.31","83.05","84.49","82.61","242.66K","0.50%"
"02/28/2023","83.89","82.30","84.15","82.19","12.30K","1.75%"
"02/27/2023","82.45","83.19","83.60","81.73","58.85K","-0.45%"
"02/24/2023","82.82","82.33","83.09","80.75","289.76K","1.06%"
"02/23/2023","81.95","80.31","82.46","80.25","293.33K","1.86%"
"02/22/2023","80.45","82.50","82.96","80.30","297.26K","-3.13%"
"02/21/2023","83.05","83.86","84.20","82.56","231.63K","-1.21%"
"02/20/2023","84.07","83.15","84.30","82.73","143.85K","1.29%"
"02/17/2023","83.00","84.60","84.87","81.80","303.66K","-2.51%"
"02/16/2023","85.14","85.27","86.21","84.60","197.02K","-0.28%"
"02/15/2023","85.38","85.20","85.85","83.88","245.98K","-0.23%"
"02/14/2023","85.58","85.83","86.42","84.13","231.63K","-1.19%"
"02/13/2023","86.61","86.51","86.95","85.10","207.62K","0.25%"
"02/10/2023","86.39","84.22","86.90","83.93","297.34K","2.24%"
"02/09/2023","84.50","84.96","85.50","83.05","260.73K","-0.69%"
"02/08/2023","85.09","84.11","85.15","83.51","254.14K","1.67%"
"02/07/2023","83.69","81.26","84.13","81.19","290.98K","3.33%"
"02/06/2023","80.99","79.61","81.43","79.10","325.21K","1.31%"
"02/03/2023","79.94","82.27","84.20","79.62","330.32K","-2.71%"
"02/02/2023","82.17","83.34","83.61","81.25","287.09K","-0.81%"
"02/01/2023","82.84","85.56","86.21","82.37","348.66K","-1.95%"
"01/31/2023","84.49","85.18","85.25","83.73","11.89K","-0.48%"
"01/30/2023","84.90","86.88","87.48","84.66","65.55K","-2.03%"
"01/27/2023","86.66","87.65","88.95","85.69","107.08K","-0.93%"
"01/26/2023","87.47","86.35","88.01","85.74","139.10K","1.57%"
"01/25/2023","86.12","86.28","87.00","85.41","159.47K","-0.01%"
"01/24/2023","86.13","88.07","88.71","85.80","207.75K","-2.34%"
"01/23/2023","88.19","87.70","89.09","86.92","192.41K","0.64%"
"01/20/2023","87.63","86.42","87.79","85.58","212.92K","1.71%"
"01/19/2023","86.16","84.34","86.85","83.76","250.96K","1.39%"
"01/18/2023","84.98","86.45","87.85","84.36","288.15K","-1.09%"
"01/17/2023","85.92","84.20","86.82","84.04","238.30K","1.73%"
"01/16/2023","84.46","85.36","85.59","83.83","125.96K","-0.96%"
"01/13/2023","85.28","83.91","85.50","83.50","217.40K","1.49%"
"01/12/2023","84.03","82.88","84.62","82.37","264.07K","1.65%"
"01/11/2023","82.67","79.52","83.00","79.31","273.79K","3.21%"
"01/10/2023","80.10","79.54","80.89","78.81","244.35K","0.56%"
"01/09/2023","79.65","78.42","81.37","78.42","245.12K","1.37%"
"01/06/2023","78.57","78.80","80.59","78.05","215.42K","-0.15%"
"01/05/2023","78.69","78.16","79.97","77.61","259.58K","1.09%"
"01/04/2023","77.84","82.31","82.72","77.72","319.31K","-5.19%"
"01/03/2023","82.10","85.96","87.00","81.78","302.86K","-4.43%"
"12/30/2022","85.91","83.71","86.00","82.88","168.65K","4.44%"
"12/29/2022","82.26","82.88","83.14","81.28","10.99K","-1.20%"
"12/28/2022","83.26","84.60","84.76","81.92","57.56K","-1.68%"
"12/27/2022","84.68","85.00","86.10","84.19","160.09K","0.21%"
"12/23/2022","84.50","82.32","84.70","81.83","180.40K","3.47%"
"12/22/2022","81.67","82.93","84.21","81.35","211.18K","-1.10%"
"12/21/2022","82.58","80.53","82.92","80.06","178.09K","2.55%"
"12/20/2022","80.53","80.60","81.19","79.00","184.12K","0.49%"
"12/19/2022","80.14","79.49","81.19","79.02","164.92K","0.82%"
"12/16/2022","79.49","81.44","81.87","78.76","236.09K","-2.25%"
"12/15/2022","81.32","82.84","83.18","80.92","162.08K","-1.73%"
"12/14/2022","82.75","80.53","83.22","80.31","178.26K","2.34%"
"12/13/2022","80.86","78.53","81.34","78.41","201.46K","3.22%"
"12/12/2022","78.34","77.34","78.89","75.67","158.37K","2.27%"
"12/09/2022","76.60","77.15","77.81","75.64","157.00K","0.01%"
"12/08/2022","76.59","77.90","79.49","76.19","209.68K","-1.29%"
"12/07/2022","77.59","80.07","80.79","77.32","207.04K","-2.61%"
"12/06/2022","79.67","83.19","83.69","79.05","225.87K","-3.62%"
"12/05/2022","82.66","85.70","88.20","82.53","193.04K","-3.38%"
"12/02/2022","85.55","86.69","87.68","85.17","141.36K","-1.53%"
"12/01/2022","86.88","86.78","89.37","86.26","229.13K","1.70%"
"11/30/2022","85.43","83.77","85.67","83.61","9.05K","2.89%"
"11/29/2022","83.03","82.41","86.00","82.39","67.93K","-0.19%"
"11/28/2022","83.19","83.58","84.10","80.61","102.56K","-0.53%"
"11/25/2022","83.63","85.50","86.87","83.59","85.31K","-2.00%"
"11/24/2022","85.34","85.04","85.54","83.90","75.61K","-0.08%"
"11/23/2022","85.41","88.47","89.56","84.12","212.14K","-3.34%"
"11/22/2022","88.36","87.76","89.90","87.35","190.85K","1.04%"
"11/21/2022","87.45","87.74","87.98","82.31","354.60K","-0.19%"
"11/18/2022","87.62","90.10","90.63","85.80","379.66K","-2.41%"
"11/17/2022","89.78","92.73","92.91","89.53","313.53K","-3.32%"
"11/16/2022","92.86","94.11","94.79","91.67","257.62K","-1.07%"
"11/15/2022","93.86","92.59","95.77","91.53","317.50K","0.77%"
"11/14/2022","93.14","95.87","96.95","92.50","248.25K","-2.97%"
"11/11/2022","95.99","93.84","96.92","93.69","238.07K","2.48%"
"11/10/2022","93.67","92.53","94.32","91.73","278.53K","1.10%"
"11/09/2022","92.65","95.17","95.65","92.33","308.02K","-2.84%"
"11/08/2022","95.36","98.24","98.30","95.00","251.67K","-2.61%"
"11/07/2022","97.92","97.31","99.56","96.50","241.94K","-0.66%"
"11/04/2022","98.57","94.58","98.81","94.33","307.09K","4.12%"
"11/03/2022","94.67","95.36","95.98","94.19","229.12K","-1.55%"
"11/02/2022","96.16","94.85","96.50","94.01","253.00K","1.60%"
"11/01/2022","94.65","92.67","95.55","92.33","247.65K","-0.19%"
"10/31/2022","94.83","96.47","96.47","94.25","15.00K","-0.98%"
"10/28/2022","95.77","96.58","96.89","94.96","89.94K","-1.23%"
"10/27/2022","96.96","96.05","97.27","95.07","84.57K","1.33%"
"10/26/2022","95.69","92.91","96.25","92.06","138.00K","4.31%"
"10/25/2022","91.74","91.40","92.48","89.75","222.20K","0.58%"
"10/24/2022","91.21","91.23","92.30","89.01","178.75K","-0.14%"
"10/21/2022","91.34","90.48","91.72","89.17","181.51K","0.98%"
"10/20/2022","90.45","90.47","92.66","90.01","211.69K","-0.12%"
"10/19/2022","90.56","89.31","90.95","87.90","260.25K","2.21%"
"10/18/2022","88.60","90.53","91.22","87.52","247.36K","-1.75%"
"10/17/2022","90.18","90.20","91.79","89.49","163.34K","0.03%"
"10/14/2022","90.15","92.81","93.45","89.81","153.89K","-4.67%"
"10/13/2022","94.57","92.49","94.92","91.08","280.52K","2.29%"
"10/12/2022","92.45","93.72","95.17","91.56","257.66K","-1.95%"
"10/11/2022","94.29","95.93","96.46","93.11","259.03K","-1.98%"
"10/10/2022","96.19","98.75","98.75","95.60","215.37K","-1.77%"
"10/07/2022","97.92","94.71","98.58","93.94","269.40K","3.71%"
"10/06/2022","94.42","93.71","94.98","92.72","207.53K","1.12%"
"10/05/2022","93.37","91.89","93.96","90.76","296.20K","1.71%"
"10/04/2022","91.80","88.81","92.40","88.78","282.38K","3.31%"
"10/03/2022","88.86","86.35","89.82","86.35","270.69K","1.02%"
"09/30/2022","87.96","88.53","89.80","87.69","5.89K","-0.60%"
"09/29/2022","88.49","88.97","90.12","87.33","57.86K","-0.93%"
"09/28/2022","89.32","86.14","89.47","84.26","74.33K","5.24%"
"09/27/2022","84.87","82.84","85.84","82.81","252.52K","2.43%"
"09/26/2022","82.86","85.54","86.45","82.44","257.04K","-2.55%"
"09/23/2022","85.03","89.57","89.88","84.55","304.20K","-5.03%"
"09/22/2022","89.53","88.83","91.74","88.28","219.29K","0.82%"
"09/21/2022","88.80","89.57","92.23","88.31","247.64K","-0.67%"
"09/20/2022","89.40","90.85","91.57","88.56","209.16K","-2.83%"
